   I        Q 
2.230277e+01 1.560435e-02 
6.556721e-01 -1.449727e+01 
-1.580249e+01 2.077463e+00 
7.308585e+00 1.599552e+01 
1.026415e+01 -5.242985e+00 
1.576243e+00 -7.983503e+00 
3.433310e+00 -9.280853e+00 
-2.873694e+01 -9.786128e+00 
1.535325e+01 1.991967e+01 
-2.090183e+01 -2.400548e+01 
-1.215696e+01 2.040248e+01 
-2.716083e+00 2.050491e+01 
2.149351e+01 5.178022e+00 
5.691984e+00 -1.813048e+01 
-2.106413e+01 4.501087e+00 
8.898980e+00 9.296558e-01 
-9.074026e+00 9.821498e+00 
9.393690e+00 -1.010929e+01 
-1.560473e+01 6.843723e+00 
3.987499e+00 -1.542279e+00 
-9.821108e+00 1.194975e+01 
5.794234e+00 -1.026999e+01 
-1.769661e+01 2.142147e+01 
1.640531e+01 -9.391962e-01 
-1.744146e+00 -5.524065e+00 
-2.338081e+01 4.648148e+00 
4.331280e+00 1.423188e+01 
9.303923e-02 1.787059e+01 
-2.951765e+00 -5.044602e+00 
7.132686e+00 2.970662e+01 
9.271939e+00 7.028565e+00 
2.813391e+01 -7.676974e+00 
-1.262495e+01 -6.855273e+00 
-7.691313e+00 3.572116e+00 
8.669966e+00 2.407664e+01 
1.748809e+01 3.873751e-01 
1.943127e+00 -6.813593e+00 
1.455960e+01 1.602634e+01 
1.170415e+01 -1.227742e+01 
1.695683e+01 -6.693287e+00 
-6.704236e-01 -1.668830e+01 
-1.186037e+00 -1.011227e+01 
-3.221313e-01 -1.933811e+01 
-3.465970e+01 -7.447673e+00 
-1.721591e+01 2.369694e+01 
1.486363e+01 2.083061e+01 
4.172988e+00 -6.764241e-01 
-4.531169e+00 -6.563853e+00 
8.650981e+00 4.205164e+01 
2.816730e+01 -3.208549e+01 
-1.986513e+00 -2.734381e+00 
-1.616844e+01 -3.813157e+00 
8.114486e+00 -1.871348e+00 
-6.967187e+00 2.116484e+01 
1.647781e+01 -1.518371e+01 
-1.690487e+00 4.418244e+00 
-8.466181e-01 -2.052912e+00 
8.830435e-01 -9.914427e-01 
1.157146e+01 7.044739e+00 
-5.830008e+00 -1.383488e+01 
3.331335e+00 6.645174e+00 
1.023544e+01 1.907279e+00 
-4.053294e+00 -1.909480e+01 
6.473713e-01 -1.659907e+00 
-2.441622e+01 1.444331e+01 
3.770124e+01 1.923865e+00 
-7.508085e-01 -1.197606e+01 
-4.173113e+00 -2.903113e+01 
-1.787702e+01 1.679408e+00 
-1.812422e+01 8.785524e-02 
-7.690273e+00 1.481647e+01 
1.167370e+01 5.037218e+00 
-2.295022e+01 -3.882936e+00 
1.580338e+01 2.060568e+01 
-1.118159e+01 -8.244929e+00 
6.211974e+00 1.613304e+01 
-4.011997e+00 9.939094e-01 
2.183266e+01 1.519419e+01 
-2.948465e+00 -2.767888e+01 
-1.059571e+01 1.004076e+01 
-3.940654e+00 1.295263e+01 
1.424218e+01 -4.561189e+00 
-9.917498e+00 8.564159e+00 
1.015157e+01 4.343587e+00 
3.540197e+00 -7.348828e+00 
-1.143461e+01 1.720104e+01 
2.150721e+01 1.836621e+00 
3.179960e+00 7.705000e+00 
3.028875e+01 -1.009393e+00 
8.881617e+00 -4.330071e+01 
-2.359116e+01 -4.967403e-02 
-2.946133e+00 -2.570287e+01 
-4.087268e+01 2.567826e+01 
3.703245e+01 2.330611e+00 
-4.320278e+01 -1.852541e+01 
-5.230354e-01 2.590464e+01 
-1.854684e+01 2.560889e+01 
2.419312e+01 1.826607e+01 
2.297851e+01 2.012190e+01 
1.327087e+01 -3.040209e+01 
-6.711963e+00 1.514122e+01 
1.891121e+01 -2.713180e+00 
-1.326023e+01 -4.065805e+00 
2.943677e+01 1.543791e+01 
-5.617502e+00 -1.099269e+01 
2.534608e+01 -7.218358e+00 
-3.057523e+00 -1.126439e+00 
1.172159e+01 -2.245801e+01 
-6.067503e+00 -1.708044e+01 
-2.334306e+01 1.311686e+01 
1.828922e+01 -1.865290e+01 
-2.423205e+01 1.725448e+01 
1.341633e+01 -4.441637e+00 
-2.715144e+00 -1.150036e+00 
1.613034e+00 1.186055e+01 
7.690561e+00 -7.975010e+00 
2.023293e+01 -4.046085e+00 
-1.814695e+01 -9.405150e+00 
2.651043e+01 -2.211503e+01 
-4.013813e+01 -7.195362e+00 
-5.291463e+00 5.825708e+00 
5.818358e+00 6.861172e+00 
-1.032332e+01 4.906223e+00 
1.553749e+01 -1.080180e+01 
-9.726724e+00 3.265515e+00 
8.349684e-01 -5.379698e+00 
6.403732e+00 -1.894624e+01 
-2.996769e+01 2.700833e+00 
-8.960036e+00 -6.272678e+00 
-8.439916e+00 2.396210e+01 
-7.654992e+00 3.427612e+00 
1.260365e+01 1.176527e+01 
2.622469e+00 2.736902e+00 
1.565913e+00 -7.570200e+00 
4.374797e+00 -4.852545e+00 
-2.088526e+01 -2.539792e-01 
1.825374e+00 7.413651e+00 
1.028111e-02 3.169100e+00 
-1.040628e+01 9.318602e+00 
1.410254e+01 -5.279500e+00 
-1.332062e+01 1.495059e+01 
5.646118e+00 -9.686987e+00 
3.306987e+00 1.769692e+01 
-6.215399e+00 -1.182589e+01 
4.712399e+00 1.667541e+01 
8.368942e+00 -9.394215e+00 
-2.541463e+01 4.312886e+00 
2.676538e+01 2.617003e+01 
2.032416e+00 -8.512068e+00 
2.564679e+01 -9.199456e+00 
-2.547124e+01 -1.021757e+01 
2.405744e+01 8.478968e+00 
-1.365862e+01 -2.250982e+01 
4.723699e+00 1.085855e+00 
-2.029254e+01 -1.194513e+01 
-8.839319e+00 1.002794e+01 
2.917045e+00 1.095979e+01 
-2.868058e+00 -7.291835e+00 
7.142504e-01 3.025030e-01 
-2.164010e+01 6.099735e+00 
1.528146e+01 1.731765e+01 
7.414276e+00 -9.999280e+00 
-1.002132e+01 -1.689856e+00 
4.920123e+00 -1.988061e+00 
-1.023572e+01 2.628616e+00 
1.458479e+00 -6.075654e+00 
-1.374140e+01 2.050174e+00 
-1.065385e+01 1.013396e+01 
3.891121e+00 1.688039e+01 
1.338517e+01 6.272417e-01 
6.752436e+00 -2.867742e+00 
-2.230113e+00 -3.068200e+01 
-2.995011e+01 9.698576e+00 
-1.589330e+01 -1.516261e+00 
-8.602650e+00 3.091620e+01 
-1.779323e-01 3.824230e+00 
3.356566e+00 1.613251e+01 
-4.598396e+00 -7.359281e+00 
-1.370337e+01 3.804254e+01 
3.701076e+01 -8.592237e+00 
-2.490721e+01 2.245391e+00 
5.952708e+00 1.432602e+01 
8.385248e+00 1.671305e+00 
-1.141777e+01 1.496716e+01 
2.335916e+01 -4.896747e+00 
-1.730059e+01 -1.487867e+00 
-1.778982e+01 1.259507e+01 
1.199696e+01 2.744663e+01 
3.206747e+00 1.530772e+01 
1.754162e+01 3.370741e+00 
8.825605e+00 8.246850e+00 
-2.517023e+00 9.341370e+00 
3.074858e+01 -6.822043e+00 
-2.477166e+01 1.353495e+01 
2.968453e+01 -1.588169e-01 
-5.785170e+00 8.510093e+00 
6.780432e+00 7.051622e+00 
1.894437e+01 2.561426e+00 
-3.261003e+00 1.110140e+01 
3.003809e+01 -2.502366e+00 
-1.316124e+00 -8.838979e+00 
8.599283e-01 9.303396e+00 
1.916413e+01 4.941083e+00 
2.137005e+01 -1.195416e+00 
9.212723e+00 -3.114587e+01 
-1.542137e+01 -3.291110e+00 
-6.542353e+00 1.087163e+01 
2.731869e+01 9.550306e+00 
5.645682e+00 -2.287593e+01 
